Р“Р»РёС„ (РіР»Р°РіРѕР»РёС†Р°),РќР°Р·РІР°РЅРёРµ,Р›Р°С‚РёРЅРёС†Р°/С‚СЂР°РЅСЃРєСЂРёРїС†РёСЏ,РљРёСЂРёР»Р»РёС†Р°,РўСЂР°РЅСЃРєСЂРёРїС†РёСЏ (СЂСѓСЃСЃРєРёР№),Р§РёСЃР»РѕРІРѕРµ Р·РЅР°С‡РµРЅРёРµ
в°Ђ,РђР·,A,Рђ,Az,1.0
в°Ѓ,Р‘СѓРєРё,B,Р‘,Buki,2.0
в°‚,Р’РµРґРё,V,Р’,Vedi,3.0
в°ѓ,Р“Р»Р°РіРѕР»Рё,G / Зґ,Р“ / Рѓ,Glagoli,4.0
в°„,Р”РѕР±СЂРѕ,D,Р”,Dobro,5.0
в°…,Р•СЃС‚СЊ,E / ГЉ / Г‹,Р­ / Р• / РЃ / Р„,EstвЂ™,6.0
в°†,Р–РёРІРµС‚Рµ,ЕЅ,Р–,Zhivete,7.0
в°‡,Р—РµР»Рѕ,бєђ,Р…,Zelo,8.0
в°€,Р—РµРјР»СЏ,Z,Р—,Zemlya,9.0
в°Љ/в°‰,РР¶Рµ,ГЊ / ГЏ,О™ / Р‡,Izhe,10.0
в°‹,Р,I / J,Р,I,20.0
в°Њ,Р“РµСЂРІ,бёЉ / Д† / Дђ,к™€ / Р‹ / Р‚,Gerv,30.0
в°Ќ,РљР°РєРѕ,K,Рљ,Kako,40.0
в°Ћ,Р›СЋРґРё,L / LМ‚,Р› / Р‰,Lyudi,50.0
в°Џ,РњС‹СЃР»РµС‚Рµ,M,Рњ,Myslete,60.0
в°ђ,РќР°С€,N / NМ‚,Рќ / РЉ,Nash,70.0
в°‘,РћРЅ,O,Рћ,On,80.0
в°’,РџРѕРєРѕР№,P,Рџ,Pokoj,90.0
в°“,Р С†С‹,R,Р ,Rtsy,100.0
в°”,РЎР»РѕРІРѕ,S,РЎ,Slovo,200.0
в°•,РўРІРµСЂРґРѕ,T,Рў,Tverdo,300.0
в°–,РЈРє,U / Иў,РЈ / Сё,Uk,400.0
в°—,Р¤РµСЂС‚,F,Р¤,Fert,500.0
в°,РҐРµСЂ,X,РҐ,Kher,600.0
в°™,РћС‚,_,С ,Ot,700.0
в°њ,Р¦С‹,C,Р¦,Tsy,900.0
в°ќ,Р§РµСЂРІСЊ,ДЊ / DМ‚,Р§ / РЏ,ChervвЂ™,1000.0
в°ћ,РЁР°,Е ,РЁ,Sha,
в°›,РЁС‚Р°,Ењ,Р©,Shta,800.0
в°џ,Р•СЂ,Е¬,РЄ,Er,
в°џв°Љ,Р•СЂС‹,Y,Р«,Ery,
в° ,Р•СЂСЊ,Д¬,Р¬,ErвЂ™,
в°Ў,РЇС‚СЊ,Дљ / Г‚,Сў / РЇ,YatвЂ™,
в°Ј,Р®,Г›,Р®,Yu,
в°¤,Р®СЃ РјР°Р»С‹Р№,ИЁМЊ,С¦,Yus malyy,
в°§,Р®СЃ РјР°Р»С‹Р№ Р№РѕС‚РёСЂРѕРІР°РЅРЅС‹Р№,JИЁМЊ,СЁ,Yus malyy iot.,
в°Ё,Р®СЃ Р±РѕР»СЊС€РѕР№,ЗЌ,СЄ,Yus bolвЂ™shoy,
в°©,Р®СЃ Р±РѕР»СЊС€РѕР№ Р№РѕС‚РёСЂРѕРІР°РЅРЅС‹Р№,JЗЌ,С¬,Yus bolвЂ™sh. iot.,
в°Є,Р¤РёС‚Р°,FМЂ,СІ,Fita,
в°«,РР¶РёС†Р°,б»І,Сґ,Izhitsa,
